Codigo,Nombre,Marca,Estatus,Asignado a,Observaciones,Fecha Modificacion
933,CORTADORA DE POLLO TORREY CP-20                 ,Equilinea,Por revisar,,,
1010,VITRINA CARNICERA TORREY TEC130 ACERO INOX.                                                         ,Naresa,Por revisar,,,
1010,VITRINA CARNICERA TORREY TEC130 ACERO INOX.                                                         ,Equilinea,Por revisar,,,
1045,VITRINA CREMERA TORREY DRD3 NEGRA    ,Naresa,Por revisar,,,
1045,VITRINA CREMERA TORREY DRD3 NEGRA    ,Equilinea,Por revisar,,,
1046,VITRINA CREMERA TORREY DRD6 NEGRA R290,Naresa,Por revisar,,,
1046,VITRINA CREMERA TORREY DRD6 NEGRA R290,Equilinea,Por revisar,,,
1063,VITRINA CARNICERA TORREY NEGRA TEM200C ,Naresa,Por revisar,,,
1063,VITRINA CARNICERA TORREY NEGRA TEM200C ,Equilinea,Por revisar,,,
1068,VITRINA CREMERA TORREY DRD5 NEGRA R290,Naresa,Por revisar,,,
1068,VITRINA CREMERA TORREY DRD5 NEGRA R290,Equilinea,Por revisar,,,
1075,VITRINA CREMERA TORREY TEM-200 ACERO INOXIDABLE R290,Naresa,Por revisar,,,
1075,VITRINA CREMERA TORREY TEM-200 ACERO INOXIDABLE R290,Equilinea,Por revisar,,,
1081,CONGELADOR HORIZONTAL TORREY 5 PIES    ,Naresa,Por revisar,,,
1081,CONGELADOR HORIZONTAL TORREY 5 PIES    ,Equilinea,Por revisar,,,
1082,CONGELADOR HORIZONTAL TORREY 7 PIES CHT75        ,Naresa,Por revisar,,,
1082,CONGELADOR HORIZONTAL TORREY 7 PIES CHT75        ,Equilinea,Por revisar,,,
1083,CONGELADOR HORIZONTAL TORREY 11 PIES    ,Naresa,Por revisar,,,
1083,CONGELADOR HORIZONTAL TORREY 11 PIES    ,Equilinea,Por revisar,,,
1084,CONGELADOR HORIZONTAL TORREY 14 PIES      ,Naresa,Por revisar,,,
1084,CONGELADOR HORIZONTAL TORREY 14 PIES      ,Equilinea,Por revisar,,,
1088,VITRINA CREMERA TORREY TEM-100 BLANCA R290       ,Naresa,Por revisar,,,
1088,VITRINA CREMERA TORREY TEM-100 BLANCA R290       ,Equilinea,Por revisar,,,
1093,TURBOLICUADOR TORREY TR-270          ,Naresa,Por revisar,,,
1093,TURBOLICUADOR TORREY TR-270          ,Equilinea,Por revisar,,,
1102,REFRIGERADOR TORREY RV17 TVC17 BLANCO.         ,Naresa,Por revisar,,,
1102,REFRIGERADOR TORREY RV17 TVC17 BLANCO.         ,Equilinea,Por revisar,,,
1104,REFRIGERADOR TORREY RV26 TVC26 BLANCO.     ,Naresa,Por revisar,,,
1104,REFRIGERADOR TORREY RV26 TVC26 BLANCO.     ,Equilinea,Por revisar,,,
1148,REFRIGERADOR TORREY RV19 TVC19 BLANCO ,Naresa,Por revisar,,,
1148,REFRIGERADOR TORREY RV19 TVC19 BLANCO ,Equilinea,Por revisar,,,
1149,REFRIGERADOR TORREY RV42 TVC42 BLANCO       ,Naresa,Por revisar,,,
1149,REFRIGERADOR TORREY RV42 TVC42 BLANCO       ,Equilinea,Por revisar,,,
1150,VITRINA CARNICERA TORREY VCA200 BLANCA   ,Naresa,Por revisar,,,
1150,VITRINA CARNICERA TORREY VCA200 BLANCA   ,Equilinea,Por revisar,,,
1157,RAMPA ANTIDERRAPANTE TORREY PLP-4/4,Naresa,Por revisar,,,
1157,RAMPA ANTIDERRAPANTE TORREY PLP-4/4,Equilinea,Por revisar,,,
1168,BASCULA TORREY PCR-20                   ,Naresa,Por revisar,,,
1168,BASCULA TORREY PCR-20                   ,Equilinea,Por revisar,,,
1170,BASCULA TORREY PCR-40,Naresa,Por revisar,,,
1170,BASCULA TORREY PCR-40,Equilinea,Por revisar,,,
1174,BATIDORA 46 LITROS BLAZER (TAZON 40 LITROS)    ,Naresa,Por revisar,,,
1174,BATIDORA 46 LITROS BLAZER (TAZON 40 LITROS)    ,Equilinea,Por revisar,,,
1178,AMASADORA TORREY 20 LITROS A-46               ,Naresa,Por revisar,,,
1178,AMASADORA TORREY 20 LITROS A-46               ,Equilinea,Por revisar,,,
1180,AMASADORA BLAZER A66          ,Naresa,Por revisar,,,
1180,AMASADORA BLAZER A66          ,Equilinea,Por revisar,,,
1190,MODULO INDICADOR TORREY PIQ,Naresa,Por revisar,,,
1190,MODULO INDICADOR TORREY PIQ,Equilinea,Por revisar,,,
1222,VITRINA CARNICERA TORREY VCA250 NEGRA      ,Naresa,Por revisar,,,
1222,VITRINA CARNICERA TORREY VCA250 NEGRA      ,Equilinea,Por revisar,,,
1233,BASCULA PLATAFORMA TORREY 3000 KG. 150X150 CM 0PLP3000-5 C/MODULO,Naresa,Por revisar,,,
1233,BASCULA PLATAFORMA TORREY 3000 KG. 150X150 CM 0PLP3000-5 C/MODULO,Equilinea,Por revisar,,,
1236,REFRIGERADOR TORREY RV17 TVC17 NEGRO.   ,Naresa,Por revisar,,,
1236,REFRIGERADOR TORREY RV17 TVC17 NEGRO.   ,Equilinea,Por revisar,,,
1237,REFRIGERADOR TORREY RV19 TVC19 NEGRO  ,Naresa,Por revisar,,,
1237,REFRIGERADOR TORREY RV19 TVC19 NEGRO  ,Equilinea,Por revisar,,,
1293,BASCULA CUENTA PIEZAS TORREY 20 Kg. QC20      ,Naresa,Por revisar,,,
1293,BASCULA CUENTA PIEZAS TORREY 20 Kg. QC20      ,Equilinea,Por revisar,,,
1294,BASCULA CUENTA PIEZAS TORREY 5 Kg. QC5  ,Naresa,Por revisar,,,
1294,BASCULA CUENTA PIEZAS TORREY 5 Kg. QC5  ,Equilinea,Por revisar,,,
1295,BASCULA CUENTA PIEZAS TORREY 50 Kg. QC50        ,Naresa,Por revisar,,,
1295,BASCULA CUENTA PIEZAS TORREY 50 Kg. QC50        ,Equilinea,Por revisar,,,
1311,REBANADORA R-300 1/3 HP MONOFASICO   ,Naresa,Por revisar,,,
1311,REBANADORA R-300 1/3 HP MONOFASICO   ,Equilinea,Por revisar,,,
1312,REBANADORA TORREY RB-300DC         ,Naresa,Por revisar,,,
